Pincode,Office Name,OfficeType,Delivery Status,District,Taluk,DivisionName,RegionName,StateName,CircleName
380001,Ahmadabad GPO,Head Office,Delivery,Ahmedabad,Ahmedabad City,Ahmedabad,Gujarat,Gujarat,Gujarat
400001,Mumbai GPO,Head Office,Delivery,Mumbai,Mumbai,Mumbai,Maharashtra,Maharashtra,Maharashtra
110001,New Delhi GPO,Head Office,Delivery,Central Delhi,Connaught Place,Delhi,Delhi,Delhi,Delhi
560001,Bangalore GPO,Head Office,Delivery,Bangalore North,Bangalore North,Bangalore South,Karnataka,Karnataka,Karnataka
600001,Chennai GPO,Head Office,Delivery,Chennai,Chennai City North,Chennai City Region,Tamil Nadu,Tamil Nadu,Tamil Nadu
